>>> -------   -------
>>> Capsule Passed: dict_keys([])
>>> -------   -------
0079 > 1 Stanley2Cross  | offset 6.500  | angle 0.000  | speed_z 0.153  | Cross position []  | time:  0.070
0080 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.051
0081 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.070
0082 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.062
0083 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.069
0084 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.065
0085 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.062
0086 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.186  | Cross position []  | time:  0.047
0087 > 1 Stanley2Cross  | offset 5.125  | angle 0.477  | speed_z 0.093  | Cross position []  | time:  0.062
0088 > 1 Stanley2Cross  | offset 2.535  | angle 1.500  | speed_z -0.029  | Cross position []  | time:  0.039
0089 > 1 Stanley2Cross  | offset 5.922  | angle 2.726  | speed_z -0.024  | Cross position []  | time:  0.030
0090 > 1 Stanley2Cross  | offset 9.617  | angle 2.386  | speed_z 0.077  | Cross position []  | time:  0.049
0091 > 1 Stanley2Cross  | offset 7.893  | angle 3.882  | speed_z -0.049  | Cross position []  | time:  0.066
0092 > 1 Stanley2Cross  | offset 3.634  | angle 4.086  | speed_z -0.159  | Cross position []  | time:  0.100
0093 > 1 Stanley2Cross  | offset -7.811  | angle 4.831  | speed_z -0.472  | Cross position []  | time:  0.065
0094 > 1 Stanley2Cross  | offset -13.372  | angle 8.931  | speed_z -0.831  | Cross position []  | time:  0.050
0095 > 1 Stanley2Cross  | offset -19.447  | angle 8.464  | speed_z -0.905  | Cross position []  | time:  0.046
0096 > 1 Stanley2Cross  | offset -24.696  | angle 7.528  | speed_z -0.919  | Cross position []  | time:  0.036
0097 > 1 Stanley2Cross  | offset -45.757  | angle 4.696  | speed_z -0.924  | Cross position []  | time:  0.058
0098 > 1 Stanley2Cross  | offset -42.037  | angle 5.508  | speed_z -0.951  | Cross position []  | time:  0.069
0099 > 1 Stanley2Cross  | offset -22.465  | angle 7.528  | speed_z -0.891  | Cross position []  | time:  0.064
0100 > 1 Stanley2Cross  | offset -15.560  | angle 5.237  | speed_z -0.648  | Cross position []  | time:  0.034
0101 > 1 Stanley2Cross  | offset -15.359  | angle 4.696  | speed_z -0.612  | Cross position []  | time:  0.031
0102 > 1 Stanley2Cross  | offset -16.443  | angle 4.764  | speed_z -0.635  | Cross position []  | time:  0.065
0103 > 1 Stanley2Cross  | offset -20.049  | angle 2.726  | speed_z -0.569  | Cross position []  | time:  0.035
0104 > 1 Stanley2Cross  | offset -18.925  | angle 1.091  | speed_z -0.454  | Cross position []  | time:  0.033
0105 > 1 Stanley2Cross  | offset -20.000  | angle 0.000  | speed_z -0.405  | Cross position []  | time:  0.080
0106 > 1 Stanley2Cross  | offset -19.000  | angle 0.000  | speed_z -0.390  | Cross position []  | time:  0.079
0107 > 1 Stanley2Cross  | offset -16.000  | angle -0.000  | speed_z -0.342  | Cross position []  | time:  0.079
0108 > 1 Stanley2Cross  | offset -17.658  | angle -1.023  | speed_z -0.308  | Cross position []  | time:  0.079
0109 > 1 Stanley2Cross  | offset -16.069  | angle -1.091  | speed_z -0.277  | Cross position []  | time:  0.057
0110 > 1 Stanley2Cross  | offset -16.299  | angle -1.296  | speed_z -0.269  | Cross position []  | time:  0.061
0111 > 1 Stanley2Cross  | offset -15.530  | angle -1.500  | speed_z -0.244  | Cross position []  | time:  0.050
0112 > 1 Stanley2Cross  | offset -12.069  | angle -1.091  | speed_z -0.204  | Cross position []  | time:  0.046
0113 > 1 Stanley2Cross  | offset -13.851  | angle -1.637  | speed_z -0.205  | Cross position []  | time:  0.047
0114 > 1 Stanley2Cross  | offset -14.062  | angle -2.045  | speed_z -0.185  | Cross position []  | time:  0.053
0115 > 1 Stanley2Cross  | offset -12.583  | angle -1.841  | speed_z -0.169  | Cross position []  | time:  0.083
0116 > 1 Stanley2Cross  | offset -13.453  | angle -2.318  | speed_z -0.157  | Cross position []  | time:  0.043
0117 > 1 Stanley2Cross  | offset -14.432  | angle -2.522  | speed_z -0.163  | Cross position []  | time:  0.039
0118 > 1 Stanley2Cross  | offset -12.954  | angle -2.318  | speed_z -0.148  | Cross position []  | time:  0.048
0119 > 1 Stanley2Cross  | offset -11.583  | angle -1.841  | speed_z -0.150  | Cross position []  | time:  0.049
0120 > 1 Stanley2Cross  | offset -9.834  | angle -1.841  | speed_z -0.114  | Cross position []  | time:  0.048
