   / -------   -------
  *  Capsule Passed: dict_keys([])
   \ -------   -------
0076 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.018
0077 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.017
0078 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.015
0079 : 1 Stanley2Cross  | offset -1.071  | angle -1.091  | speed_z 0.107  | Cross position []  | time:  0.017
0080 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.170  | Cross position []  | time:  0.018
0081 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.170  | Cross position []  | time:  0.016
0082 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.170  | Cross position []  | time:  0.021
0083 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.170  | Cross position []  | time:  0.016
0084 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.170  | Cross position []  | time:  0.016
0085 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.170  | Cross position []  | time:  0.016
0086 : 1 Stanley2Cross  | offset 2.875  | angle -0.477  | speed_z 0.222  | Cross position []  | time:  0.016
0087 : 1 Stanley2Cross  | offset -0.000  | angle -0.000  | speed_z -0.000  | Cross position []  | time:  0.019
0088 : 1 Stanley2Cross  | offset -2.928  | angle 1.091  | speed_z -0.317  | Cross position []  | time:  0.017
0089 : 1 Stanley2Cross  | offset 0.963  | angle 2.318  | speed_z -0.297  | Cross position []  | time:  0.017
0090 : 1 Stanley2Cross  | offset 5.068  | angle 2.045  | speed_z -0.043  | Cross position []  | time:  0.017
0091 : 1 Stanley2Cross  | offset 2.531  | angle 3.406  | speed_z -0.378  | Cross position []  | time:  0.020
0092 : 1 Stanley2Cross  | offset -0.339  | angle 3.882  | speed_z -0.600  | Cross position []  | time:  0.018
0093 : 1 Stanley2Cross  | offset -10.962  | angle 4.764  | speed_z -1.264  | Cross position []  | time:  0.015
0094 : 1 Stanley2Cross  | offset -16.412  | angle 8.797  | speed_z -2.102  | Cross position []  | time:  0.018
0095 : 1 Stanley2Cross  | offset -17.593  | angle 9.529  | speed_z -2.257  | Cross position []  | time:  0.018
0096 : 1 Stanley2Cross  | offset -23.403  | angle 8.464  | speed_z -2.299  | Cross position []  | time:  0.018
0097 : 1 Stanley2Cross  | offset -46.757  | angle 4.899  | speed_z -2.268  | Cross position []  | time:  0.017
0098 : 1 Stanley2Cross  | offset -44.028  | angle 5.508  | speed_z -2.319  | Cross position []  | time:  0.018
0099 : 1 Stanley2Cross  | offset -21.425  | angle 8.464  | speed_z -2.235  | Cross position []  | time:  0.018
0100 : 1 Stanley2Cross  | offset -18.298  | angle 5.237  | speed_z -1.640  | Cross position []  | time:  0.016
0101 : 1 Stanley2Cross  | offset -20.642  | angle 4.153  | speed_z -1.561  | Cross position []  | time:  0.018
0102 : 1 Stanley2Cross  | offset -19.508  | angle 4.628  | speed_z -1.593  | Cross position []  | time:  0.001
0103 : 1 Stanley2Cross  | offset -24.354  | angle 2.386  | speed_z -1.417  | Cross position []  | time:  0.018
0104 : 1 Stanley2Cross  | offset -26.661  | angle -0.068  | speed_z -1.116  | Cross position []  | time:  0.017
0105 : 1 Stanley2Cross  | offset -23.000  | angle -0.000  | speed_z -1.017  | Cross position []  | time:  0.018
0106 : 1 Stanley2Cross  | offset -24.676  | angle -0.818  | speed_z -0.946  | Cross position []  | time:  0.017
0107 : 1 Stanley2Cross  | offset -23.067  | angle -1.091  | speed_z -0.855  | Cross position []  | time:  0.017
0108 : 1 Stanley2Cross  | offset -22.028  | angle -1.500  | speed_z -0.760  | Cross position []  | time:  0.016
0109 : 1 Stanley2Cross  | offset -21.578  | angle -1.841  | speed_z -0.694  | Cross position []  | time:  0.017
0110 : 1 Stanley2Cross  | offset -19.529  | angle -1.500  | speed_z -0.674  | Cross position []  | time:  0.019
0111 : 1 Stanley2Cross  | offset -18.849  | angle -1.637  | speed_z -0.629  | Cross position []  | time:  0.019
0112 : 1 Stanley2Cross  | offset -20.357  | angle -2.386  | speed_z -0.571  | Cross position []  | time:  0.015
0113 : 1 Stanley2Cross  | offset -20.427  | angle -2.522  | speed_z -0.553  | Cross position []  | time:  0.019
0114 : 1 Stanley2Cross  | offset -19.906  | angle -2.726  | speed_z -0.504  | Cross position []  | time:  0.019
0115 : 1 Stanley2Cross  | offset -17.450  | angle -2.318  | speed_z -0.475  | Cross position []  | time:  0.017
0116 : 1 Stanley2Cross  | offset -17.908  | angle -2.726  | speed_z -0.431  | Cross position []  | time:  0.018
0117 : 1 Stanley2Cross  | offset -19.773  | angle -3.202  | speed_z -0.428  | Cross position []  | time:  0.018
0118 : 1 Stanley2Cross  | offset -19.841  | angle -3.338  | speed_z -0.410  | Cross position []  | time:  0.017
0119 : 1 Stanley2Cross  | offset -19.773  | angle -3.202  | speed_z -0.428  | Cross position []  | time:  0.018
0120 : 1 Stanley2Cross  | offset -18.843  | angle -3.338  | speed_z -0.374  | Cross position []  | time:  0.016
0121 : 1 Stanley2Cross  | offset -19.773  | angle -3.202  | speed_z -0.428  | Cross position []  | time:  0.018
0122 : 1 Stanley2Cross  | offset -16.909  | angle -2.726  | speed_z -0.393  | Cross position []  | time:  0.027
0123 : 1 Stanley2Cross  | offset -17.776  | angle -3.202  | speed_z -0.354  | Cross position []  | time:  0.016
0124 : 1 Stanley2Cross  | offset -18.094  | angle -3.338  | speed_z -0.346  | Cross position []  | time:  0.017
0125 : 1 Stanley2Cross  | offset -17.505  | angle -3.406  | speed_z -0.314  | Cross position []  | time:  0.019
0126 : 1 Stanley2Cross  | offset -17.096  | angle -3.338  | speed_z -0.308  | Cross position []  | time:  0.018
0127 : 1 Stanley2Cross  | offset -16.777  | angle -3.202  | speed_z -0.316  | Cross position []  | time:  0.017
0128 : 1 Stanley2Cross  | offset -17.505  | angle -3.406  | speed_z -0.314  | Cross position []  | time:  0.015
0129 : 1 Stanley2Cross  | offset -14.732  | angle -2.862  | speed_z -0.285  | Cross position []  | time:  0.017
0130 : 1 Stanley2Cross  | offset -11.954  | angle -2.318  | speed_z -0.247  | Cross position []  | time:  0.018
0131 : 1 Stanley2Cross  | offset -9.584  | angle -1.841  | speed_z -0.209  | Cross position []  | time:  0.016
0132 : 1 Stanley2Cross  | offset -9.193  | angle -1.568  | speed_z -0.232  | Cross position []  | time:  0.014
0133 : 1 Stanley2Cross  | offset -9.532  | angle -1.500  | speed_z -0.258  | Cross position []  | time:  0.016
0134 : 1 Stanley2Cross  | offset -9.551  | angle -1.296  | speed_z -0.290  | Cross position []  | time:  0.016
0135 : 1 Stanley2Cross  | offset -9.301  | angle -1.296  | speed_z -0.278  | Cross position []  | time:  0.017
0136 : 1 Stanley2Cross  | offset -9.301  | angle -1.296  | speed_z -0.278  | Cross position []  | time:  0.013
0137 : 1 Stanley2Cross  | offset -7.070  | angle -1.091  | speed_z -0.200  | Cross position []  | time:  0.014
0138 : 1 Stanley2Cross  | offset -6.178  | angle -0.818  | speed_z -0.197  | Cross position []  | time:  0.001
0139 : 1 Stanley2Cross  | offset -7.909  | angle -1.023  | speed_z -0.252  | Cross position []  | time:  0.029
0140 : 1 Stanley2Cross  | offset -8.070  | angle -1.091  | speed_z -0.249  | Cross position []  | time:  0.000
0141 : 1 Stanley2Cross  | offset -7.909  | angle -1.023  | speed_z -0.252  | Cross position []  | time:  0.018
0142 : 1 Stanley2Cross  | offset -5.875  | angle -0.477  | speed_z -0.233  | Cross position []  | time:  0.017
0143 : 1 Stanley2Cross  | offset -9.070  | angle -1.091  | speed_z -0.297  | Cross position []  | time:  0.017
0144 : 1 Stanley2Cross  | offset -6.000  | angle 0.000  | speed_z -0.310  | Cross position []  | time:  0.001
0145 : 1 Stanley2Cross  | offset -6.000  | angle 0.000  | speed_z -0.310  | Cross position []  | time:  0.018
0146 : 1 Stanley2Cross  | offset -9.178  | angle -0.818  | speed_z -0.343  | Cross position []  | time:  0.018
0147 : 1 Stanley2Cross  | offset -6.000  | angle 0.000  | speed_z -0.310  | Cross position []  | time:  0.018
0148 : 1 Stanley2Cross  | offset -8.909  | angle -1.023  | speed_z -0.300  | Cross position []  | time:  0.017
0149 : 1 Stanley2Cross  | offset -7.678  | angle -0.818  | speed_z -0.271  | Cross position []  | time:  0.017
0150 : 1 Stanley2Cross  | offset -7.909  | angle -1.023  | speed_z -0.252  | Cross position []  | time:  0.017
0151 : 1 Stanley2Cross  | offset -7.909  | angle -1.023  | speed_z -0.252  | Cross position []  | time:  0.016
0152 : 1 Stanley2Cross  | offset -8.070  | angle -1.091  | speed_z -0.249  | Cross position []  | time:  0.016
0153 : 1 Stanley2Cross  | offset -8.070  | angle -1.091  | speed_z -0.249  | Cross position []  | time:  0.017
0154 : 1 Stanley2Cross  | offset -8.462  | angle -1.228  | speed_z -0.248  | Cross position [225]  | time:  0.014
0155 : 1 Stanley2Cross  | offset -7.452  | angle -0.818  | speed_z -0.260  | Cross position [235, 225]  | time:  0.017
0156 : 1 Stanley2Cross  | offset -5.000  | angle 0.000  | speed_z -0.260  | Cross position [245, 235, 225]  | time:  0.018
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross'])
   \ -------   -------
0157 : 2 Turn2Road  | phase 0.000  | capsule keys dict_keys(['dist_from_cross'])  | radius 269.184  | rot_z 1.000  | SPEED_X 1.122  | time:  0.020
0158 : 2 Turn2Road  | phase 1.000  | time:  0.018
0159 : 2 Turn2Road  | phase 1.000  | time:  0.017
0160 : 2 Turn2Road  | phase 1.000  | time:  0.016
0161 : 2 Turn2Road  | phase 1.000  | time:  0.020
0162 : 2 Turn2Road  | phase 1.000  | time:  0.019
0163 : 2 Turn2Road  | phase 1.000  | time:  0.017
0164 : 2 Turn2Road  | phase 1.000  | time:  0.016
0165 : 2 Turn2Road  | phase 1.000  | time:  0.016
0166 : 2 Turn2Road  | phase 1.000  | time:  0.014
0167 : 2 Turn2Road  | phase 1.000  | time:  0.017
0168 : 2 Turn2Road  | phase 1.000  | time:  0.016
0169 : 2 Turn2Road  | phase 1.000  | time:  0.017
0170 : 2 Turn2Road  | phase 1.000  | time:  0.016
0171 : 2 Turn2Road  | phase 1.000  | time:  0.018
0172 : 2 Turn2Road  | phase 1.000  | line_not_shown   | time:  0.018
0173 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.016
0174 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.017
0175 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.016
0176 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.016
0177 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.016
0178 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.016
0179 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.013
0180 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.000
0181 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.017
0182 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.014
0183 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.016
0184 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.016
0185 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.016
0186 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.017
0187 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.013
0188 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.017
0189 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.016
0190 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.016
0191 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.017
0192 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.017
0193 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.018
0194 : 2 Turn2Road  | phase 2.000  | line_not_shown   | line_on_angle 7.663  | time:  0.018
0195 : 2 Turn2Road  | phase 2.000  | line_not_shown   | line_on_angle 4.988  | time:  0.017
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross'])
   \ -------   -------
0196 : 3 Stanley2Green  | phase  1.000  | offset -9.346  | angle 4.988  | z speed  -1.222  | true green? 255.000  | true green at [140, 120]  | true green from line 10.759  | time:  0.001
