>>> -------   -------
>>> Capsule Passed: {}
>>> -------   -------
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | line_on_angle 7.116468567447522  | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | line_on_angle 4.849843901782834  | time:  0.0
>>> -------   -------
>>> Capsule Passed: {'dist_from_cross': np.float64(270.0)}
>>> -------   -------
3 Stanley2Green  | phase  1  | offset -6.365008185402965  | angle 4.849843901782834  | z speed  -0.44057283882438725  | true green? 224  | true green at [0, 120]  | true green from line 10.29029786330822  | time:  0.03865671157836914
3 Stanley2Green  | phase  1  | offset -8.085550119642768  | angle 4.36683896255651  | z speed  -0.4496927347604661  | true green? 133  | true green at [90, 110]  | true green from line 11.74761542046743  | time:  0.003241300582885742
3 Stanley2Green  | phase  1  | offset -8.27782661608024  | angle 3.57201065470876  | z speed  -0.4061712293004597  | true green? 180  | true green at [70, 110]  | true green from line 8.876660985822278  | time:  0.0
3 Stanley2Green  | phase  1  | offset -6.650276536275475  | angle 3.1913692804587277  | z speed  -0.3474762842344992  | true green? 170  | true green at [80, 100]  | true green from line 14.480538445229714  | time:  0.0
3 Stanley2Green  | phase  1  | offset -9.999004111293837  | angle 2.15191990996856  | z speed  -0.35739841598858335  | true green? 216  | true green at [100, 100]  | true green from line 11.270833828660116  | time:  0.0
3 Stanley2Green  | phase  2  | offset -8.072198883700235  | angle 1.7010110992708063  | Dist ratio  0.10000000000000009  | time:  0.0
3 Stanley2Green  | phase  2  | offset -9.465825297366056  | angle 0.7638984609299981  | Dist ratio  -0.0327587914302061  | time:  0.0
>>> -------   -------
>>> Capsule Passed: {'dist_from_cross': np.float64(270.0)}
>>> -------   -------
4 Turn2Void  | phase 0  | time:  0.0
4 Turn2Void  | phase 1  | angle -6.340191745909905  | time 1.7840776249242574  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0009734630584716797
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0005359649658203125
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0005004405975341797
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.0
4 Turn2Void  | phase 3  | time:  0.001299142837524414
>>> -------   -------
>>> Capsule Passed: {'dist_from_cross': np.float64(270.0)}
>>> -------   -------
10 Event  | mode  5  | count:  {'ally_tank': 1, 'enem': 1}  | time:  0.30367112159729004
10 Event  | mode  4  | count:  {'ally_tank': 1, 'ally': 1, 'enem': 1}  | time:  0.2464921474456787
10 Event  | mode  3  | count:  {'ally_tank': 1, 'enem': 1}  | time:  0.40302371978759766
10 Event  | mode  2  | count:  {'ally_tank': 1, 'enem': 1}  | time:  0.2404642105102539
10 Event  | mode  1  | count:  {'ally_tank': 1, 'ally': 1}  | time:  0.2385239601135254
10 Event  | prediction result:  {'ally': 0, 'enem': 1, 'ally_tank': 1, 'enem_tank': 0}  | time:  0.00540924072265625
10 Event  | time:  0.0014879703521728516
10 Event  | time:  0.0
10 Event  | time:  0.0
>>> -------   -------
>>> Capsule Passed: {'dist_from_cross': np.float64(270.0), 'event_10_frame_list': [array([[[ 80,  85,  85],
        [ 80,  85,  85],
        [ 80,  85,  85],
        ...,
        [ 45,  40,  41],
        [ 43,  38,  39],
        [ 40,  35,  36]],

       [[ 78,  83,  83],
        [ 78,  83,  83],
        [ 78,  83,  83],
        ...,
        [ 40,  35,  36],
        [ 41,  36,  37],
        [ 42,  37,  38]],

       [[ 78,  83,  83],
        [ 78,  83,  83],
        [ 78,  83,  83],
        ...,
        [ 36,  33,  34],
