   / -------   -------
  *  Capsule Passed: dict_keys([])
   \ -------   -------
0002 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.070
0255 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.041
0256 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.040
0257 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.046
0258 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.052
0259 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.041
0260 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.059
0261 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.047
0262 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.053
0263 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.046
0264 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.056
0265 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.050
0266 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.054
0267 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.058
0268 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.058
0269 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.049
0270 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.060
0271 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.049
0272 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.051
0273 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.046
0274 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.049
0275 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.054
0276 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.045
0277 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.039
0278 : 3 Stanley2Green  | phase  1.000  | offset -65.497  | angle -28.811  | z speed  2.582  | time:  0.045
0279 : 3 Stanley2Green  | phase  1.000  | offset -41.785  | angle -20.807  | z speed  1.664  | time:  0.042
0280 : 3 Stanley2Green  | phase  1.000  | offset -7.071  | angle -8.531  | z speed  0.916  | time:  0.058
0281 : 3 Stanley2Green  | phase  1.000  | offset -7.463  | angle -5.711  | z speed  0.473  | time:  0.049
0282 : 3 Stanley2Green  | phase  1.000  | offset -8.130  | angle -4.004  | z speed  0.185  | time:  0.140
0283 : 3 Stanley2Green  | phase  1.000  | offset -9.600  | angle -2.634  | z speed  -0.091  | time:  0.051
0284 : 3 Stanley2Green  | phase  1.000  | offset -30.783  | angle -5.954  | z speed  -0.341  | time:  0.043
0285 : 3 Stanley2Green  | phase  1.000  | offset -10.000  | angle 0.000  | z speed  -0.505  | time:  0.043
0286 : 3 Stanley2Green  | phase  1.000  | offset 76.384  | angle 17.745  | z speed  -0.842  | time:  0.053
0287 : 3 Stanley2Green  | phase  1.000  | offset -10.379  | angle -0.688  | z speed  -0.420  | time:  0.049
0288 : 3 Stanley2Green  | phase  1.000  | offset -6.836  | angle -1.309  | z speed  -0.156  | time:  0.047
0289 : 3 Stanley2Green  | phase  1.000  | offset -10.732  | angle -4.696  | z speed  0.165  | time:  0.053
0290 : 3 Stanley2Green  | phase  1.000  | offset -6.164  | angle -7.326  | z speed  0.780  | time:  0.052
0291 : 3 Stanley2Green  | phase  1.000  | offset -2.404  | angle -9.860  | z speed  1.353  | time:  0.047
0292 : 3 Stanley2Green  | phase  1.000  | offset -1.132  | angle -12.134  | z speed  1.761  | time:  0.059
0293 : 3 Stanley2Green  | phase  1.000  | offset 29.274  | angle -8.310  | z speed  2.443  | time:  0.048
0294 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.047
0295 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.041
0296 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.047
0297 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.042
0298 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.051
0299 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.047
0300 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.044
0301 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.046
0302 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.052
0303 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.046
0304 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.042
0305 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.042
0306 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.053
0307 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.037
0308 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.039
0309 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.039
0310 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.039
0311 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.040
0312 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.041
0313 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.039
0314 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.061
0315 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.052
0316 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.042
0317 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.040
0318 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.053
0319 : 3 Stanley2Green  | phase  1.000  | offset 32.951  | angle -9.330  | z speed  2.684  | time:  0.041
0320 : 3 Stanley2Green  | phase  1.000  | offset 11.816  | angle 13.200  | z speed  -1.392  | time:  0.058
0321 : 3 Stanley2Green  | phase  1.000  | offset 11.175  | angle 10.775  | z speed  -1.057  | time:  0.050
0322 : 3 Stanley2Green  | phase  1.000  | offset 8.949  | angle 9.800  | z speed  -1.015  | time:  0.048
0323 : 3 Stanley2Green  | phase  1.000  | offset 7.517  | angle 9.631  | z speed  -1.059  | time:  0.047
0324 : 3 Stanley2Green  | phase  1.000  | offset 7.746  | angle 8.853  | z speed  -0.931  | time:  0.052
0325 : 3 Stanley2Green  | phase  1.000  | offset 6.084  | angle 7.731  | z speed  -0.845  | time:  0.052
0326 : 3 Stanley2Green  | phase  1.000  | offset 0.118  | angle 6.123  | z speed  -0.912  | time:  0.081
0327 : 3 Stanley2Green  | phase  1.000  | offset 2.754  | angle 6.157  | z speed  -0.779  | time:  0.050
0328 : 3 Stanley2Green  | phase  1.000  | offset -0.723  | angle 6.226  | z speed  -0.972  | time:  0.036
0329 : 3 Stanley2Green  | phase  1.000  | offset -3.998  | angle 5.367  | z speed  -1.014  | time:  0.038
0330 : 3 Stanley2Green  | phase  1.000  | offset -2.937  | angle 5.676  | z speed  -1.005  | time:  0.035
0331 : 3 Stanley2Green  | phase  1.000  | offset -13.848  | angle 2.117  | z speed  -0.995  | time:  0.047
0332 : 3 Stanley2Green  | phase  1.000  | offset -5.070  | angle 3.849  | z speed  -0.841  | time:  0.047
0333 : 3 Stanley2Green  | phase  1.000  | offset -0.024  | angle 4.021  | z speed  -0.604  | true green? 255.000  | true green at [190, 140]  | true green from line 28.112  | time:  0.050
0334 : 3 Stanley2Green  | phase  1.000  | offset -3.378  | angle 2.707  | z speed  -0.583  | true green? 153.000  | true green at [180, 130]  | true green from line 21.467  | time:  0.050
0335 : 3 Stanley2Green  | phase  1.000  | offset -3.739  | angle 2.464  | z speed  -0.565  | time:  0.048
0336 : 3 Stanley2Green  | phase  1.000  | offset -3.191  | angle 2.429  | z speed  -0.531  | time:  0.048
0337 : 3 Stanley2Green  | phase  1.000  | offset -2.998  | angle 2.291  | z speed  -0.500  | time:  0.050
0338 : 3 Stanley2Green  | phase  1.000  | offset -6.138  | angle 1.389  | z speed  -0.526  | time:  0.045
0339 : 3 Stanley2Green  | phase  1.000  | offset -6.699  | angle 1.146  | z speed  -0.517  | time:  0.039
0340 : 3 Stanley2Green  | phase  1.000  | offset -6.699  | angle 1.146  | z speed  -0.517  | time:  0.057
0341 : 3 Stanley2Green  | phase  1.000  | offset -7.518  | angle 0.729  | z speed  -0.495  | time:  0.053
0342 : 3 Stanley2Green  | phase  1.000  | offset -6.963  | angle 0.833  | z speed  -0.484  | time:  0.046
0343 : 3 Stanley2Green  | phase  1.000  | offset -5.763  | angle 0.833  | z speed  -0.424  | time:  0.045
0344 : 3 Stanley2Green  | phase  1.000  | offset -5.963  | angle 0.833  | z speed  -0.434  | time:  0.043
0345 : 3 Stanley2Green  | phase  1.000  | offset -9.000  | angle -0.000  | z speed  -0.458  | time:  0.054
0346 : 3 Stanley2Green  | phase  1.000  | offset -8.000  | angle 0.000  | z speed  -0.410  | time:  0.042
0347 : 3 Stanley2Green  | phase  1.000  | offset -7.000  | angle 0.000  | z speed  -0.360  | time:  0.048
0348 : 3 Stanley2Green  | phase  1.000  | offset -7.000  | angle 0.000  | z speed  -0.360  | time:  0.040
0349 : 3 Stanley2Green  | phase  1.000  | offset -8.224  | angle -0.556  | z speed  -0.337  | time:  0.052
0350 : 3 Stanley2Green  | phase  1.000  | offset -6.000  | angle 0.000  | z speed  -0.310  | time:  0.069
0351 : 3 Stanley2Green  | phase  1.000  | offset -5.555  | angle -0.104  | z speed  -0.272  | time:  0.057
0352 : 3 Stanley2Green  | phase  1.000  | offset -7.881  | angle -0.729  | z speed  -0.294  | time:  0.059
0353 : 3 Stanley2Green  | phase  1.000  | offset -9.744  | angle -1.042  | z speed  -0.337  | time:  0.043
0354 : 3 Stanley2Green  | phase  1.000  | offset -9.287  | angle -0.868  | z speed  -0.341  | time:  0.055
0355 : 3 Stanley2Green  | phase  1.000  | offset -10.703  | angle -1.285  | z speed  -0.345  | time:  0.049
0356 : 3 Stanley2Green  | phase  1.000  | offset -10.503  | angle -1.285  | z speed  -0.336  | time:  0.046
0357 : 3 Stanley2Green  | phase  1.000  | offset -8.624  | angle -0.556  | z speed  -0.356  | time:  0.044
