1_Stanley2Green_  | phase  1  | time:  0.152464151382
1_Stanley2Green_  | phase  1  | time:  0.0115358829498
1_Stanley2Green_  | phase  1  | time:  0.0126061439514
1_Stanley2Green_  | phase  1  | time:  0.0125930309296
1_Stanley2Green_  | phase  1  | time:  0.012088060379
1_Stanley2Green_  | phase  1  | time:  0.0116329193115
1_Stanley2Green_  | phase  1  | time:  0.0117540359497
1_Stanley2Green_  | phase  1  | time:  0.0118927955627
1_Stanley2Green_  | phase  1  | time:  0.0120689868927
1_Stanley2Green_  | phase  1  | time:  0.0114841461182
1_Stanley2Green_  | phase  1  | time:  0.0125231742859
1_Stanley2Green_  | phase  1  | time:  0.0118210315704
1_Stanley2Green_  | phase  1  | time:  0.0115759372711
1_Stanley2Green_  | phase  1  | time:  0.0120460987091
1_Stanley2Green_  | phase  1  | time:  0.0115270614624
1_Stanley2Green_  | phase  1  | time:  0.0111539363861
1_Stanley2Green_  | phase  1  | time:  0.0114579200745
1_Stanley2Green_  | phase  1  | time:  0.0110690593719
1_Stanley2Green_  | phase  1  | time:  0.0113749504089
1_Stanley2Green_  | phase  1  | time:  0.0124619007111
1_Stanley2Green_  | phase  1  | time:  0.012011051178
1_Stanley2Green_  | phase  1  | time:  0.0120258331299
1_Stanley2Green_  | phase  1  | time:  0.0134119987488
1_Stanley2Green_  | phase  1  | time:  0.0122621059418
1_Stanley2Green_  | phase  1  | time:  0.0118880271912
1_Stanley2Green_  | phase  1  | time:  0.0116899013519
1_Stanley2Green_  | phase  1  | time:  0.0115661621094
1_Stanley2Green_  | phase  1  | time:  0.0135381221771
1_Stanley2Green_  | phase  1  | time:  0.0129518508911
1_Stanley2Green_  | phase  1  | time:  0.0139441490173
1_Stanley2Green_  | phase  1  | time:  0.0139741897583
1_Stanley2Green_  | phase  1  | time:  0.0143160820007
1_Stanley2Green_  | phase  1  | time:  0.0152459144592
1_Stanley2Green_  | phase  1  | offset -15.6755481736  | angle -3.57201065471  | z speed  -0.121710539232  | time:  0.0225620269775
1_Stanley2Green_  | phase  1  | offset -14.6696448107  | angle -3.29520995285  | z speed  -0.120675306392  | time:  0.0219299793243
1_Stanley2Green_  | phase  1  | offset -14.9241314011  | angle -3.46822925892  | z speed  -0.114817294289  | time:  0.0220010280609
1_Stanley2Green_  | phase  1  | offset -14.9279521241  | angle -3.60659927232  | z speed  -0.106582694029  | time:  0.0222289562225
1_Stanley2Green_  | phase  1  | offset -15.337900386  | angle -4.0214502722  | z speed  -0.0888920929999  | time:  0.0230340957642
1_Stanley2Green_  | phase  1  | offset -14.3403625209  | angle -4.0214502722  | z speed  -0.0711884338827  | true green? 219  | true green at [0, 60]  | true green from line 6.23914591972  | time:  0.0231940746307
1_Stanley2Green_  | phase  1  | offset -14.9490252626  | angle -4.43587936559  | z speed  -0.0571985747867  | true green? 255  | true green at [0, 60]  | true green from line 3.95176334751  | time:  0.0225400924683
1_Stanley2Green_  | phase  1  | offset -16.204577192  | angle -4.8843186468  | z speed  -0.0519990169807  | true green? 255  | true green at [0, 60]  | true green from line 2.07425834375  | time:  0.0239939689636
1_Stanley2Green_  | phase  2  | offset -16.204577192  | angle -4.8843186468  | Dist ratio  -0.207384685085  | time:  0.0225410461426
2_Stanley2Green_  | phase  1  | offset 19.4357738765  | angle 4.00417294071  | z speed  0.156245844734  | true green? 114  | true green at [100, 70]  | true green from line 11.4885541049  | time:  0.0215358734131
2_Stanley2Green_  | phase  1  | offset 6.38846534229  | angle 0.267621652314  | z speed  0.134053487542  | true green? 144  | true green at [120, 70]  | true green from line 4.9192669319  | time:  0.0212190151215
2_Stanley2Green_  | phase  1  | offset -4.79616460186  | angle -2.29061004264  | z speed  0.0237104507505  | true green? 191  | true green at [130, 70]  | true green from line 3.99680383489  | time:  0.0224590301514
2_Stanley2Green_  | phase  1  | offset -42.5903140595  | angle -11.9096570416  | z speed  0.0905797376776  | true green? 234  | true green at [140, 70]  | true green from line 1.28091170104  | time:  0.0228080749512
2_Stanley2Green_  | phase  1  | offset -10.2815099083  | angle -3.43363036245  | z speed  -0.0280876387914  | true green? 242  | true green at [160, 70]  | true green from line 5.88940858825  | time:  0.0227878093719
2_Stanley2Green_  | phase  1  | offset -12.4899513365  | angle -3.8486445052  | z speed  -0.0470769297311  | true green? 252  | true green at [170, 70]  | true green from line 7.02956593012  | time:  0.021861076355
2_Stanley2Green_  | phase  1  | offset -11.4370295413  | angle -3.67576858656  | z speed  -0.0368885856098  | true green? 254  | true green at [180, 70]  | true green from line 7.31219921495  | time:  0.0229601860046
2_Stanley2Green_  | phase  1  | offset -13.7889137426  | angle -3.91777540392  | z speed  -0.0673559596579  | true green? 216  | true green at [190, 70]  | true green from line 9.41733530104  | time:  0.022805929184
2_Stanley2Green_  | phase  1  | offset -14.6955883309  | angle -4.26325459193  | z speed  -0.0630555859569  | time:  0.0227670669556
2_Stanley2Green_  | phase  1  | offset -13.194143588  | angle -4.05600273454  | z speed  -0.0480074444191  | time:  0.0228259563446
2_Stanley2Green_  | phase  1  | offset -15.4074822826  | angle -4.8843186468  | z speed  -0.0383317688816  | time:  0.0231049060822
2_Stanley2Green_  | phase  1  | offset -15.559041272  | angle -4.98772151507  | z speed  -0.0347566043615  | time:  0.0228250026703
