1_Stanley2Cross_  | time:  1.0732359886169434
1_Stanley2Cross_offset -4.018075556431601 mm / angle -0.4166892317935597deg / z speed -0.022984030323880574 CROSS::[]  | time:  0.0030448436737060547
1_Stanley2Cross_offset -1.9999999999999858 mm / angle -1.3689543350248727e-16deg / z speed -0.023971262048482975 CROSS::[]  | time:  0.0037310123443603516
1_Stanley2Cross_offset -3.0000000000000995 mm / angle -1.8082401511217874e-14deg / z speed -0.03590326967598031 CROSS::[]  | time:  0.0030548572540283203
1_Stanley2Cross_offset -3.0060517728635228 mm / angle -0.13889858732599095deg / z speed -0.027641391036474797 CROSS::[]  | time:  0.0027000904083251953
1_Stanley2Cross_offset -3.1605776184376704 mm / angle -0.24307154572141335deg / z speed -0.023229589374365756 CROSS::[]  | time:  0.00311279296875
1_Stanley2Cross_offset -3.0000000000000995 mm / angle -1.8082401511217874e-14deg / z speed -0.03590326967598031 CROSS::[]  | time:  0.0029964447021484375
1_Stanley2Cross_offset -3.0000000000000995 mm / angle -1.8082401511217874e-14deg / z speed -0.03590326967598031 CROSS::[]  | time:  0.0029757022857666016
1_Stanley2Cross_offset -3.463584839616887 mm / angle -0.3125193343669911deg / z speed -0.022663237380634957 CROSS::[]  | time:  0.004008769989013672
1_Stanley2Cross_offset -3.9605704192694797 mm / angle -0.24307154572141346deg / z speed -0.03272077433917464 CROSS::[]  | time:  0.0035254955291748047
1_Stanley2Cross_offset -6.687111257172424 mm / angle -0.8680514497455479deg / z speed -0.027111008228184387 CROSS::[]  | time:  0.002847909927368164
1_Stanley2Cross_offset -5.487248974508072 mm / angle -0.8680514497455498deg / z speed -0.013178594444505544 CROSS::[]  | time:  0.00308990478515625
1_Stanley2Cross_offset -6.184059365762588 mm / angle -2.01320454339739deg / z speed 0.0474177793680642 CROSS::[]  | time:  0.0030028820037841797
1_Stanley2Cross_offset -5.255001831378125 mm / angle -3.814074834290352deg / z speed 0.16629923493397777 CROSS::[]  | time:  0.0029458999633789062
1_Stanley2Cross_offset -4.012599354122055 mm / angle -6.603032052661891deg / z speed 0.34826131343614075 CROSS::[]  | time:  0.003571748733520508
1_Stanley2Cross_offset -1.980111350882159 mm / angle -9.225657273560817deg / z speed 0.5298059905020813 CROSS::[]  | time:  0.0036690235137939453
